SKU;DESCRIÇÃO;UNID.
5000003;CORRUGADO 500X500X250 S/ IMPRESSAO;UN
5000030;AGULHA 134 ZZ 80/12 UNICA U;UN
5000034;AGULHA B27 - 75/11 UNICA U;UN
5000037;ALIMENTACAO REFINADO 1KG UNICA U;KG
5000062;AGULHA P/ MAQUINA (JET PIN TAG COD 08944) UNICA U;UN
5000047;CORRUGADO 455X380X340 CENTAURO;UN
5000053;CANALETA 20X12X2000MM UNICA U;UN
5000056;ACESSORIOS CATALOGO 12G UNICA U;UN
5000066;CONEXAO RETA 8/1/8 UNICA U;UN
5000068;CORREIA . UNICA U;UN
5000013;AGULHA 134 - 75/11 UNICA U;UN
5000023;BOLSA C/BOLSO UNICA U;UN
5000086;PAPEL KRAFT FI 50G 1,70X200 UNICA U;RL
5000134;CABOS COAXIAL RFA-0597-75 UNICA U;MT
5000164;CABOS SINTENAX 1X016MM UNICA U;MT
5000169;CABOS CORDOPLAST 3X2,5MM UNICA U;MT
5000171;PINO FIX PIN UNICA 5;CX
5000174;PINO FIX PIN UNICA 15;CX
5000176;PINO FIX PIN UNICA 25;CX
5000178;PINO FIX PIN UNICA 35;CX
5000190;AGULHA FINE TAG - MAQ AUTOMATICA UNICA U;UN
5000238;SACO ALVEJADO ESPECIAL 40X65 UNICA U;UN
5000269;MANGUEIRA CRISTAL 1/2X1.5 AFA UNICA U;MT
5000271;TOMADA EXTERNA TELEFONE BR/PT DIVERSAS UNICA U;PC
5000283;PLUGUE MACHO 2P 10A 1076-2 UNICA U;PC
5000277;FITA ISOLANTE PVC COLORIDA 10M UNICA U;UN
5000320;NIPLE ROSCAVEL 1/2 UNICA U;PC
5000317;FONTE DE ALIMENTACAO P/ FITA LED 3A 12VCD BIVOLT AVA UNICA U;PC
5000475;FONTE DE ALIMENTACAO DAT SKORPIO X3 UNICA .;UN
5000605;JALECO AZUL AZUL BIC_ GG;UN
5000607;JALECO AZUL AZUL BIC_ XXG;UN
5000493;FITA DUREX 12MM X 100 METROS UNICA U;UN
5000495;FITA FITA LARGA PP TRANSPARENTE 45MM X 100 M UNICA U;UN
5000599;JALECO CRISDU VERDE MUSGO GG;UN
5000630;TAG TALAO 105X145MM ROSA 141508 .;ML
5000519;PINCEL ATOMICO 1100 PRETO_ .;UN
5000522;CANETA BIC CRISTAL PRETO_ .;UN
5000555;RESPIRADOR PLASTMG 1/4 C/1 FILTRO ( MASCARA) SEM COR .;UN
5000614;ADESIVO REDONDO COLORIDO DIVERSAS .;ML
5000615;CANETA MARCA TEXTO AMARELO .;UN
5000609;ILUMINACAO EMERGENCIA  LED UNITEL UNICA U;UN
5000504;AGULHA 135X17 - 75/11 UNICA U;UN
5000636;FITA DEMARCACAO DE SOLO AMARELO .;RL
5000356;CABIDE A43PR 243 L PRETO U;JG
5000532;CEPO INCOLOR SEM COR .;PC
5000536;TAG TALAO 105X145MM AZUL .;ML
5000585;FOLHA A4 BRANCA BRANCO_ .;PCT
5000377;MAO FRANCESA SIMPLES 200MM UNICA U;PC
5000383;ABRACADEIRA PVC 3/4 BRANCA VICAP UNICA U;UN
5000387;FIO FLEXIVEL 02,5MM PRETO U;MT
5000460;ELETRODUTO  PVC 3/4 ROSCAVEL PVC 3/4 ROSCAVEL UNICA U;RL
5000467;LUVA 3/4 TIGRE UNICA U;PC
5000516;CHAVE PHILIPS 1/4X 1.1/2 VONDER UNICA U;PC
5002117;CHIP 128KB . U;UN
5000802;TAG TALAO ROMANCE VERMELHO UNICA U;RL
5000898;BATERIA 7 AH UNICA U;UN
5000901;CENTRAL INCENDIO SECURITE PI64 UNICA U;UN
5000794;USO E CONSUMO BOBINA EMBALAGEM 5 KG 28X42 UNICA U;RL
5000970;FITA DUPLA FACE 25MM SEM COR .;RL
5001051;JALECO CRISDU BRANCO G;UN
5001054;JALECO CRISDU BRANCO XXG;UN
5001059;JALECO CRISDU BEGE GG;UN
5001117;COLA BRANCA UNICA U;UN
5001038;DISCO DE FREIO DIANTEIRO . .;JG
5001040;LIXA FERRO 80 (CARRO) . .;PC
5001025;TONER CARTUCHO 11000065 - PLOTER UNICA U;UN
5000996;ATILHO MERCUR 18 AMARELO DIVERSAS DV;KG
5000915;CONEXAO TE ESQ RED 75X50M SEM COR .;PC
5000966;ETIQUETA REVISORA TAQUARA 1/14 UNICA U;RL
5001030;CHAVE COMBINADA 17 ROBUSTA UNICA U;UN
5001032;MANIPULO C/ PARAFUSO 10X50 UNICA U;UN
5001178;PARAFUSO PARAFUSO SEXTAV. 1/4 70MM DIVERSAS .;CT
5001180;ADAPTADOR ADAPTADOR FEMEA DIVERSAS .;PC
5001208;LIXA D'AGUA G2000 UNICA U;UN
5001237;AGULHA UY118 - 70/10 UNICA U;UN
5001269;PASTILHA DE FREIO UNICA;UN
5001223;ETIQUETA REVISORA TAQ 1/14 UNICA 05;UN
5001224;ETIQUETA REVISORA TAQ 1/14 UNICA 06;UN
5001226;ETIQUETA REVISORA TAQ 1/14 UNICA 08;UN
5001227;ETIQUETA REVISORA TAQ 1/14 UNICA 09;UN
5001280;CHAVE COMBINADA 25 - ROBUST UNICA U;UN
5001306;CORRENTE PVC PRETO_ .;MT
5001299;MALHA STUCKET CINZA ESTOQUE SEM COR - SEM CARACTERISTICA .;KG
5001310;LAMPADA 12V GOTA DIVERSAS .;PC
5001314;GIZ ESTOJO COLORIDO BRANCO U;UN
5001445;ESPATULA FERRO 12 CM UNICA U;UN
5001466;COLA TRAVA PARAFUSO UNICA U;UN
5001501;LAMPADA MICRO MINIATURA KAP MV5AFAI PINO UNICA U;PC
5001332;ETIQUETA REVISORA IGREJINHA 1/14 UNICA 03;UN
5001338;ETIQUETA REVISORA IGREJINHA 1/14 UNICA 09;UN
5001339;ETIQUETA REVISORA IGREJINHA 1/14 UNICA 10;UN
5001342;ETIQUETA REVISORA IGREJINHA 1/14 UNICA 13;UN
5001431;CAP PPR AZ 32 MM UNICA U;UN
5001465;ADAPTADOR ADAPTER 9V EU DIVERSAS .;UN
5001367;PLASTICO BOLHA VIRGEM SOFT SEM COR - SEM CARACTERISTICA .;UN
5001556;KIT TECLADO + MOUSE LOGITECH UNICA .;UN
5001648;ALMOCO;UN
5001574;AMACIANTE GERAL UNICA .;LT
5001555;OLEO DIESEL COMUM UNICA .;LT
5001721;ROLDANA PLASTICA UNICA .;UN
5001739;PINCAS;UN
5001742;BUCHA P/ TIJOLO UNICA .;UN
5001743;HUB USB MD9 UNICA .;UN
5001582;MARCADOR PERMANENTE . .;UN
5001603;CANETA ESFEROGRAFICA UNICA .;UN
5001851;CORREIA DO PONTO;PC
5001778;BANDEJA PARA PRATELEIRA KIT COM 5 UNICA .;UN
5001766;ESPUMA PARA HEADSET UNICA .;UN
5001767;LANTERNA DELIMITADORA SUPERIOR VERMELHA UNICA .;UN
5001768;PARALAMA PLASTICO UNICA .;PC
5001769;PRODUTO NCM 33071000 UNICA .;UN
5001785;CONTACT TRANSPARENTE - PLASTCOVER UNICA .;MT
5001779;PARABARRO BORRACHA M2010 UNICA .;PC
5001780;SUPORTE DO PARALAMA DE PLASTICO UNICA .;PC
5001781;TUBO GERAL UNICA .;PC
5001790;CAMERA HDCVI VHD BFULL HD G4;UN
5001792;PIJAMA JUVENIL FEM SWEET . .;
5001794;ALMOFADA GERAL . .;UN
5001796;MASCARA GERAL . .;UN
-25977;SO/ CONSUMO FOTOCONDUTOR DR 620 . .;UN
5002125;MATERIAIS DE ESCRITORIO;UN
5002178;ANEL ORING U . .;UN
5002186;TORNEIRA U . .;UN
5001954;PRENDEDOR DE PAPEL U. . .;UN
5001955;PASTA A/Z OFICIO LARGA U. . .;UN
